,Image,Accuracy,Dice Coefficient,IoU,Recall,Precision
0,img\0.jpg,0.9939727783203125,0.8305448305448305,0.7101980924431401,0.8712871287128713,0.7934426229508197
1,img\1.jpg,0.993927001953125,0.9029741589468552,0.8231111111111111,0.8361173814898419,0.9814520402755696
2,img\2.jpg,0.9975433349609375,0.8896504455106238,0.8012345679012346,0.8132832080200502,0.9818456883509834
3,img\3.jpg,0.987457275390625,0.7864935064935066,0.6481164383561644,0.699630314232902,0.8979833926453143
4,img\4.jpg,0.9954986572265625,0.9119665771411518,0.8381788261108064,0.8988235294117647,0.9254996971532404
5,img\5.jpg,0.907867431640625,0.4332645015956449,0.2765396597172298,0.2795204069274555,0.9628702544847726
6,img\6.jpg,0.9827423095703125,0.7654986522911051,0.6200873362445415,0.6270380434782609,0.9824374667376264
7,img\7.jpg,0.9960174560546875,0.9289409202286959,0.8673106253177427,0.885313959522574,0.97709049255441
8,img\8.jpg,0.9846038818359375,0.8610001377600222,0.7559264634736332,0.7689468503937008,0.9780907668231612
9,img\9.jpg,0.9904022216796875,0.8854489164086689,0.7944444444444444,0.8015166501813387,0.9890154597233524
10,img\10.jpg,0.9918060302734375,0.8790268078396036,0.7841639871382636,0.8085370907583921,0.9629812438302073
11,img\11.jpg,0.9935760498046875,0.9300315771979392,0.8692140416278348,0.8848829854522454,0.9800350262697023
12,img\12.jpg,0.9965057373046875,0.9243475388173108,0.8593366093366094,0.8854430379746835,0.9668279198341396
13,img\13.jpg,0.978515625,0.7205240174672489,0.5631399317406144,0.5745489078822412,0.9659393294305482
14,img\14.jpg,0.99609375,0.9131025118805159,0.8400999375390381,0.8539682539682539,0.9810357403355215
15,img\15.jpg,0.9963836669921875,0.9193054136874361,0.8506616257088847,0.8771929824561403,0.9656652360515021
16,img\16.jpg,0.9969940185546875,0.9339147936933914,0.8760226557583386,0.8888888888888888,0.9837455830388693
17,img\17.jpg,0.935302734375,0.4442988204456094,0.2855939342881213,0.28816729003740227,0.9696796338672768
18,img\18.jpg,0.9939727783203125,0.8927504751561227,0.8062775870524767,0.845679012345679,0.9453709028177113
19,img\19.jpg,0.990203857421875,0.8797752808988764,0.7853560682046138,0.7951929587000677,0.9844928751047779
20,img\20.jpg,0.9886932373046875,0.7535749916860659,0.6045891141942369,0.6075067024128686,0.9921190893169878
21,img\21.jpg,0.99041748046875,0.8154027042915931,0.6883374689826303,0.6941941941941941,0.9878917378917379
22,img\22.jpg,0.9864654541015625,0.7757269279393173,0.6336224700536969,0.6365145228215767,0.9928802588996763
23,img\23.jpg,0.9963836669921875,0.8957325120985483,0.8111553784860558,0.8583473861720068,0.9365225390984361
24,img\24.jpg,0.9932403564453125,0.7867116032739527,0.6484126984126984,0.7160385626643295,0.8728632478632479
25,img\25.jpg,0.9956817626953125,0.8700045934772623,0.7699186991869919,0.8059574468085107,0.9451097804391217
26,img\26.jpg,0.99542236328125,0.8490945674044266,0.7377622377622378,0.7686703096539163,0.9483146067415731
27,img\27.jpg,0.9960784912109375,0.8471148126115408,0.7347781217750258,0.8557692307692307,0.8386336866902238
28,img\28.jpg,0.9968414306640625,0.8711885500933415,0.7717750826901875,0.819672131147541,0.9296148738379814
29,img\29.jpg,0.997283935546875,0.8728571428571429,0.7743979721166033,0.8168449197860963,0.9371165644171779
30,img\30.jpg,0.996337890625,0.8328690807799444,0.7136038186157518,0.7540983606557377,0.9300155520995335
31,img\31.jpg,0.994873046875,0.8141592920353983,0.6865671641791045,0.7258382642998028,0.9269521410579346
32,img\32.jpg,0.993560791015625,0.8617300131061598,0.7570523891767416,0.8122297714638665,0.9176552686671319
33,img\33.jpg,0.996429443359375,0.8771008403361344,0.7811038353601497,0.7922201138519924,0.9823529411764705
34,img\34.jpg,0.990142822265625,0.7731741573033709,0.6302232398397253,0.6968354430379747,0.8682965299684543
35,img\35.jpg,0.9969940185546875,0.9010547463586137,0.819926873857404,0.8961038961038961,0.906060606060606
36,img\36.jpg,0.9965667724609375,0.9022164276401564,0.8218527315914489,0.8564356435643564,0.953168044077135
37,img\37.jpg,0.9945068359375,0.8748261474269818,0.7775030902348579,0.8336646785950961,0.9202633504023409
38,img\38.jpg,0.9963531494140625,0.8992836072482091,0.8169984686064319,0.8674796747967479,0.9335083114610674
39,img\39.jpg,0.9931182861328125,0.8544691836076153,0.7459154929577465,0.7904477611940298,0.9297752808988764
40,img\40.jpg,0.99029541015625,0.8109393579072532,0.682,0.7167630057803468,0.9336071184120466
41,img\41.jpg,0.99212646484375,0.845601436265709,0.7325038880248833,0.7700272479564033,0.9376244193762442
42,img\42.jpg,0.9939422607421875,0.8659236744343126,0.7635497319833234,0.7972636815920398,0.9475240206947524
43,img\43.jpg,0.991729736328125,0.7675814751286448,0.6228253305497564,0.6347517730496454,0.9707158351409978
44,img\44.jpg,0.99212646484375,0.8361904761904763,0.7184942716857611,0.8030487804878049,0.8721854304635761
45,img\45.jpg,0.9952239990234375,0.8577919127669241,0.750994431185362,0.8130921619293713,0.9076923076923077
46,img\46.jpg,0.996368408203125,0.8432147562582344,0.7289293849658315,0.845442536327609,0.8409986859395532
47,img\47.jpg,0.997161865234375,0.8924855491329479,0.8058455114822547,0.8464912280701754,0.9437652811735942
48,img\48.jpg,0.9958953857421875,0.872209026128266,0.7733782645324347,0.8233183856502242,0.9272727272727272
49,img\49.jpg,0.9938812255859375,0.812879141390574,0.684748427672956,0.7186468646864687,0.9355531686358755
