,Image,Accuracy,Dice Coefficient,IoU,Recall,Precision
0,img\0.jpg,0.9830474853515625,0.0,0.0,0.0,0.0
1,img\1.jpg,0.9662017822265625,0.0,0.0,0.0,0.0
2,img\10.jpg,0.9631805419921875,0.0,0.0,0.0,0.0
3,img\11.jpg,0.951751708984375,0.0,0.0,0.0,0.0
4,img\12.jpg,0.97589111328125,0.0,0.0,0.0,0.0
5,img\13.jpg,0.9517974853515625,0.0,0.0,0.0,0.0
6,img\14.jpg,0.9759674072265625,0.0,0.0,0.0,0.0
7,img\15.jpg,0.9765167236328125,0.0,0.0,0.0,0.0
8,img\16.jpg,0.976104736328125,0.0,0.0,0.0,0.0
9,img\17.jpg,0.910247802734375,0.0,0.0,0.0,0.0
10,img\18.jpg,0.9703369140625,0.0,0.0,0.0,0.0
11,img\19.jpg,0.954925537109375,0.0,0.0,0.0,0.0
12,img\2.jpg,0.987823486328125,0.0,0.0,0.0,0.0
13,img\20.jpg,0.9715423583984375,0.0,0.0,0.0,0.0
14,img\21.jpg,0.969512939453125,0.0,0.0,0.0,0.0
15,img\22.jpg,0.963226318359375,0.0,0.0,0.0,0.0
16,img\23.jpg,0.981903076171875,0.0,0.0,0.0,0.0
17,img\24.jpg,0.9825897216796875,0.0,0.0,0.0,0.0
18,img\25.jpg,0.9820709228515625,0.0,0.0,0.0,0.0
19,img\26.jpg,0.983245849609375,0.0,0.0,0.0,0.0
20,img\27.jpg,0.9873046875,0.0,0.0,0.0,0.0
21,img\28.jpg,0.986968994140625,0.0,0.0,0.0,0.0
22,img\29.jpg,0.98858642578125,0.0,0.0,0.0,0.0
23,img\3.jpg,0.96697998046875,0.0,0.0,0.0,0.0
24,img\30.jpg,0.9878997802734375,0.0,0.0,0.0,0.0
25,img\31.jpg,0.984527587890625,0.0,0.0,0.0,0.0
26,img\32.jpg,0.9752960205078125,0.0,0.0,0.0,0.0
27,img\33.jpg,0.983917236328125,0.0,0.0,0.0,0.0
28,img\34.jpg,0.97589111328125,0.0,0.0,0.0,0.0
29,img\35.jpg,0.9847259521484375,0.0,0.0,0.0,0.0
30,img\36.jpg,0.98150634765625,0.0,0.0,0.0,0.0
31,img\37.jpg,0.9769744873046875,0.0,0.0,0.0,0.0
32,img\38.jpg,0.981231689453125,0.0,0.0,0.0,0.0
33,img\39.jpg,0.9744415283203125,0.0,0.0,0.0,0.0
34,img\4.jpg,0.97406005859375,0.0,0.0,0.0,0.0
35,img\40.jpg,0.9709625244140625,0.0,0.0,0.0,0.0
36,img\41.jpg,0.9720001220703125,0.0,0.0,0.0,0.0
37,img\42.jpg,0.9754638671875,0.0,0.0,0.0,0.0
38,img\43.jpg,0.978485107421875,0.0,0.0,0.0,0.0
39,img\44.jpg,0.9749755859375,0.0,0.0,0.0,0.0
40,img\45.jpg,0.9822845458984375,0.0,0.0,0.0,0.0
41,img\46.jpg,0.9884490966796875,0.0,0.0,0.0,0.0
42,img\47.jpg,0.986083984375,0.0,0.0,0.0,0.0
43,img\48.jpg,0.9829864501953125,0.0,0.0,0.0,0.0
44,img\49.jpg,0.98150634765625,0.0,0.0,0.0,0.0
45,img\5.jpg,0.8740081787109375,0.0,0.0,0.0,0.0
46,img\6.jpg,0.955078125,0.0,0.0,0.0,0.0
47,img\7.jpg,0.9705963134765625,0.0,0.0,0.0,0.0
48,img\8.jpg,0.938018798828125,0.000983767830791933,0.0004921259842519685,0.0004921259842519685,1.0
49,img\9.jpg,0.9537200927734375,0.0,0.0,0.0,0.0
